"YEAR","HALFYEAR","PUNISH_TYPE","SUM(*)"
2016.0,1.0,1.0,8455374.969999999
2016.0,1.0,2.0,45600.0
2016.0,2.0,1.0,3.2489942920000013E7
2016.0,2.0,2.0,64650.0
2017.0,1.0,1.0,6.450382502000004E7
2017.0,1.0,2.0,57400.0
2017.0,2.0,1.0,1.1779368286000006E8
2017.0,2.0,2.0,40200.0
2018.0,1.0,1.0,5.1715792954999995E8
2018.0,1.0,2.0,50200.0
2018.0,2.0,1.0,1.0390618961E8
2018.0,2.0,2.0,67900.0
2019.0,1.0,1.0,9.417899974999997E7
2019.0,1.0,2.0,78900.0
2019.0,2.0,1.0,4835801.419999999
2019.0,2.0,2.0,171459.0
