"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_HANGYE","PUNISH_QUYU"
6.0,,61.0,176.0,1.0,2018.0,,"大鹏新区"
89.66666666666666,,91.0,200.0,36.33333333333333,2018.0,"住建","光明区"
4.0,,120.0,35.0,0.0,2017.0,"文体","市级"
2.416666666666667,,29.083333333333332,71.16666666666666,-26.75,2018.0,"文体","龙岗区"
183.0,,88.0,90.0,10.0,2017.0,"民政","市级"
25.0,,48.0,272.0,2.0,2018.0,"水务","南山区"
1.25,,39.25,232.5,1.75,2018.0,"水务","大鹏新区"
14.0,,79.0,602.0,10.0,2017.0,"规自","福田区"
9.0,5.0,85.0,19.0,0.0,2019.0,"规自","龙华区"
0.0,109.0,6.0,21.0,1.0,2018.0,"规自","龙岗区"
7.0,1.0,8.0,19.0,0.0,2019.0,"规自","龙岗区"
1.0,,61.0,112.0,0.0,2018.0,"财政","市级"
1.0,,28.0,50.0,0.0,2018.0,"财政","罗湖区"
