"PUNISH_TYPE","YEAR","MONTH","SUM(*)"
1.0,2016.0,1.0,98
1.0,2016.0,2.0,33
1.0,2016.0,3.0,144
1.0,2016.0,4.0,170
1.0,2016.0,5.0,302
1.0,2016.0,6.0,323
1.0,2016.0,7.0,272
1.0,2016.0,8.0,252
1.0,2016.0,9.0,243
1.0,2016.0,10.0,350
1.0,2016.0,11.0,1382
1.0,2016.0,12.0,1471
1.0,2017.0,1.0,926
1.0,2017.0,2.0,680
1.0,2017.0,3.0,2253
1.0,2017.0,4.0,1847
1.0,2017.0,5.0,2076
1.0,2017.0,6.0,1867
1.0,2017.0,7.0,1767
1.0,2017.0,8.0,2320
1.0,2017.0,9.0,2235
1.0,2017.0,10.0,2120
1.0,2017.0,11.0,2620
1.0,2017.0,12.0,2499
1.0,2018.0,1.0,2666
1.0,2018.0,2.0,913
1.0,2018.0,3.0,2549
1.0,2018.0,4.0,2766
1.0,2018.0,5.0,3311
1.0,2018.0,6.0,3158
1.0,2018.0,7.0,2921
1.0,2018.0,8.0,2959
1.0,2018.0,9.0,2469
1.0,2018.0,10.0,2185
1.0,2018.0,11.0,2648
1.0,2018.0,12.0,2097
1.0,2019.0,1.0,2909
1.0,2019.0,2.0,1506
1.0,2019.0,3.0,4056
1.0,2019.0,4.0,4073
1.0,2019.0,5.0,3782
1.0,2019.0,6.0,3189
1.0,2019.0,7.0,2579
1.0,2019.0,8.0,1790
1.0,2019.0,9.0,2
1.0,2019.0,11.0,2
2.0,2016.0,1.0,39
2.0,2016.0,2.0,15
2.0,2016.0,3.0,85
2.0,2016.0,4.0,80
2.0,2016.0,5.0,144
2.0,2016.0,6.0,152
2.0,2016.0,7.0,119
2.0,2016.0,8.0,73
2.0,2016.0,9.0,93
2.0,2016.0,10.0,99
2.0,2016.0,11.0,45
2.0,2016.0,12.0,40
2.0,2017.0,1.0,13
2.0,2017.0,2.0,14
2.0,2017.0,3.0,53
2.0,2017.0,4.0,71
2.0,2017.0,5.0,103
2.0,2017.0,6.0,93
2.0,2017.0,7.0,53
2.0,2017.0,8.0,114
2.0,2017.0,9.0,69
2.0,2017.0,10.0,55
2.0,2017.0,11.0,14
2.0,2017.0,12.0,20
2.0,2018.0,1.0,54
2.0,2018.0,2.0,22
2.0,2018.0,3.0,47
2.0,2018.0,4.0,87
2.0,2018.0,5.0,103
2.0,2018.0,6.0,90
2.0,2018.0,7.0,93
2.0,2018.0,8.0,136
2.0,2018.0,9.0,195
2.0,2018.0,10.0,145
2.0,2018.0,11.0,181
2.0,2018.0,12.0,84
2.0,2019.0,1.0,129
2.0,2019.0,2.0,54
2.0,2019.0,3.0,137
2.0,2019.0,4.0,183
2.0,2019.0,5.0,203
2.0,2019.0,6.0,147
2.0,2019.0,7.0,233
2.0,2019.0,8.0,3011
2.0,2019.0,9.0,1
