"PUNISH_QUYU","YEAR","MEAN(ALL_DAYS)"
,2016.0,90.23053892215577
,2017.0,92.32898696088239
,2018.0,54.8608792431832
,2019.0,41.96705107084012
"光明区",2016.0,92.14864864864869
"光明区",2017.0,91.7227074235807
"光明区",2018.0,65.11481900452486
"光明区",2019.0,53.129271916790536
"南山区",2016.0,85.80952380952394
"南山区",2017.0,64.93324664065877
"南山区",2018.0,71.81664190193194
"南山区",2019.0,56.503225806451546
"坪山区",2016.0,86.14685314685318
"坪山区",2017.0,70.41071428571438
"坪山区",2018.0,57.68697829716198
"坪山区",2019.0,37.62896315338471
"大鹏新区",2016.0,72.28888888888888
"大鹏新区",2017.0,70.60416666666666
"大鹏新区",2018.0,71.04318936877077
"大鹏新区",2019.0,57.52252252252252
"宝安区",2016.0,67.49292929292936
"宝安区",2017.0,52.297236140293855
"宝安区",2018.0,49.97418291678109
"宝安区",2019.0,28.095137171788444
"盐田区",2016.0,46.59259259259259
"盐田区",2017.0,75.73837209302327
"盐田区",2018.0,66.61148648648656
"盐田区",2019.0,51.638461538461556
"福田区",2016.0,114.20021186440665
"福田区",2017.0,82.17089783281722
"福田区",2018.0,72.39273014618753
"福田区",2019.0,20.248106060606
"罗湖区",2016.0,102.70418848167542
"罗湖区",2017.0,99.18827283605904
"罗湖区",2018.0,76.6772334293948
"罗湖区",2019.0,38.434668417596804
"龙华区",2016.0,86.46544715447153
"龙华区",2017.0,81.37612323491639
"龙华区",2018.0,70.54308472121664
"龙华区",2019.0,38.29477794045873
"龙岗区",2016.0,101.74292452830196
"龙岗区",2017.0,71.81123088493335
"龙岗区",2018.0,60.40265670402651
"龙岗区",2019.0,30.639354066985533
