"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_QUYU"
4.520833333333334,,,24.893203883495158,3.155339805825242,2016.0,"光明区"
2.3712035995500513,40.10942249240126,13.18429003021148,66.65925925925926,16.11940298507463,2017.0,"光明区"
3.803082191780822,140.43217054263553,-105.36874999999989,35.57456140350881,39.79385964912281,2018.0,"光明区"
3.393982808022922,40.76424870466328,-3.8120481927710825,9.221311475409836,8.926229508196725,2019.0,"光明区"
3.5222929936305714,,,14.865671641791034,4.464285714285711,2016.0,"南山区"
2.3040069686411084,121.93129770992378,22.750000000000025,30.74074074074075,5.191919191919194,2017.0,"南山区"
1.1369083283403256,37.90663390663387,10.731669266770677,32.66169154228859,9.588089330024815,2018.0,"南山区"
0.453867660764213,44.5235294117647,-43.057553956834525,4.167213114754098,7.544262295081973,2019.0,"南山区"
2.465277777777781,,,32.044117647058826,3.2307692307692295,2016.0,"坪山区"
-0.10260586319218326,220.37500000000006,-129.79775280898878,21.623655913978503,5.882978723404251,2017.0,"坪山区"
3.984033613445379,33.194785276073695,-9.434782608695661,33.68888888888894,10.155555555555575,2018.0,"坪山区"
-4.339511373209763,23.270758122743672,-76.1816326530613,2.8899521531100474,16.290669856459377,2019.0,"坪山区"
2.88095238095238,,,4.066666666666667,1.4666666666666666,2016.0,"大鹏新区"
2.636363636363637,60.02631578947369,9.90243902439024,-0.8500000000000003,6.722222222222221,2017.0,"大鹏新区"
4.5506756756756745,38.37179487179487,20.991735537190085,25.46590909090909,8.784090909090908,2018.0,"大鹏新区"
3.0176991150442474,31.75,13.913043478260862,5.807692307692306,2.6923076923076916,2019.0,"大鹏新区"
2.9392971246006385,,,19.38690476190477,3.4601226993865026,2016.0,"宝安区"
2.4561574751911515,36.336734693877546,106.89632107023421,15.710955710955718,2.1995249406175783,2017.0,"宝安区"
-1.0927234927235017,35.26050420168074,-7.267647058823521,18.408851422550065,18.076923076923098,2018.0,"宝安区"
-12.531747864234582,32.724637681159464,-98.95076452599312,0.3495394836176956,11.407368262116837,2019.0,"宝安区"
1245.565543071161,,9.71698113207547,1.9450549450549437,18.563218390804593,2016.0,"市级"
1.6500461680517042,,122.89221556886227,29.10731707317071,3.242053789731052,2017.0,"市级"
1.134647418101054,24.052631578947363,16.151583710407248,657.1237911025139,-621.8959537572258,2018.0,"市级"
-10.364797334813959,20.452380952380942,574.4118852459018,2.4710743801652906,21.258762886597943,2019.0,"市级"
3.5,,,4.499999999999999,4.733333333333334,2016.0,"盐田区"
3.209302325581394,122.23809523809523,257.66666666666663,22.208333333333332,2.6666666666666674,2017.0,"盐田区"
8.460481099656349,33.68055555555554,29.36,31.048387096774192,6.838709677419352,2018.0,"盐田区"
4.5187969924812,47.03703703703703,8.91111111111111,8.794871794871796,5.0256410256410255,2019.0,"盐田区"
7.0508658008658145,,,30.20731707317074,8.533333333333333,2016.0,"福田区"
4.413662239089182,68.91509433962261,69.21610169491518,37.24561403508773,24.843478260869574,2017.0,"福田区"
6.720763723150364,50.97922848664693,11.050808314087748,39.25862068965517,20.309278350515463,2018.0,"福田区"
244.19814126394036,38.497674418604674,-89.34954697186433,0.9316367265469062,2.0224550898203564,2019.0,"福田区"
4.467289719626166,,,65.04081632653067,7.44444444444444,2016.0,"罗湖区"
2.8494271685761046,65.65178571428574,55.928000000000004,44.75714285714292,-3.558823529411765,2017.0,"罗湖区"
2.9932346723044336,36.420523138833,1.9575471698113185,-2188.208754208755,2191.06,2018.0,"罗湖区"
-3.3405654174884996,24.5040871934605,-53.193823216187425,5.4715189873417724,2.5955766192733147,2019.0,"罗湖区"
3.010121457489878,42.0,,17.007220216606513,1.7977528089887633,2016.0,"龙华区"
2.292400171747523,189.11294117647054,-88.1939252336449,33.86125654450259,4.418803418803425,2017.0,"龙华区"
2.4340440910733476,-491.34789644012926,483.88750000000033,30.375404530744348,13.479935794542543,2018.0,"龙华区"
-1.9201154956689117,26.655716162943527,-50.374100719424426,1.9661610268378074,7.214702450408405,2019.0,"龙华区"
2.1639549436795997,746.0,1.0,73.82352941176472,15.96517412935324,2016.0,"龙岗区"
2.3491094147582654,141.73731343283578,-57.19354838709676,60.416342412451336,19.972440944881907,2017.0,"龙岗区"
1.26602227358688,28.47668997668998,-4.134744450180694,18.11987381703471,16.311728395061724,2018.0,"龙岗区"
-2.2889733840304225,25.81280788177341,-70.36772176631514,0.39155672823219007,9.69356540084387,2019.0,"龙岗区"
