"MEAN(FILL_DAYS)","MEAN(SURVEY_DAYS)","MEAN(DECISION_DAYS)","MEAN(PUNISH_DAYS)","MEAN(END_DAYS)","YEAR","PUNISH_QUYU"
1245.565543071161,,9.71698113207547,1.9450549450549457,18.563218390804593,2016.0,
1.6500461680517096,,122.89221556886245,29.10731707317078,3.242053789731053,2017.0,
1.1346474181010537,24.052631578947363,16.151583710407195,657.1237911025138,-621.895953757225,2018.0,
-10.364797334813987,20.45238095238095,574.4118852459018,2.471074380165286,21.25876288659792,2019.0,
4.520833333333336,,,24.89320388349515,3.1553398058252435,2016.0,"光明区"
2.371203599550053,40.10942249240123,13.184290030211475,66.65925925925924,16.11940298507462,2017.0,"光明区"
3.8030821917808137,140.4321705426357,-105.36875000000015,35.57456140350878,39.7938596491228,2018.0,"光明区"
3.3939828080229173,40.76424870466317,-3.8120481927710923,9.221311475409836,8.92622950819672,2019.0,"光明区"
3.5222929936305754,,,14.865671641791044,4.464285714285714,2016.0,"南山区"
2.30400696864111,121.93129770992373,22.75000000000004,30.740740740740733,5.191919191919195,2017.0,"南山区"
1.1369083283403223,37.90663390663385,10.731669266770668,32.66169154228859,9.588089330024808,2018.0,"南山区"
0.45386766076421164,44.52352941176472,-43.05755395683456,4.167213114754099,7.544262295081965,2019.0,"南山区"
2.4652777777777803,,,32.04411764705881,3.2307692307692295,2016.0,"坪山区"
-0.10260586319218247,220.37500000000017,-129.79775280898872,21.623655913978496,5.882978723404254,2017.0,"坪山区"
3.984033613445378,33.19478527607364,-9.434782608695656,33.68888888888886,10.15555555555556,2018.0,"坪山区"
-4.3395113732097705,23.2707581227437,-76.1816326530612,2.8899521531100465,16.29066985645936,2019.0,"坪山区"
2.8809523809523805,,,4.066666666666666,1.4666666666666663,2016.0,"大鹏新区"
2.6363636363636362,60.02631578947367,9.90243902439024,-0.8499999999999994,6.722222222222221,2017.0,"大鹏新区"
4.5506756756756745,38.37179487179486,20.99173553719009,25.46590909090909,8.78409090909091,2018.0,"大鹏新区"
3.017699115044248,31.75,13.91304347826087,5.807692307692306,2.692307692307691,2019.0,"大鹏新区"
2.939297124600637,,,19.386904761904766,3.460122699386504,2016.0,"宝安区"
2.4561574751911506,36.33673469387755,106.89632107023405,15.710955710955718,2.1995249406175756,2017.0,"宝安区"
-1.0927234927234915,35.26050420168075,-7.267647058823521,18.408851422550057,18.076923076923094,2018.0,"宝安区"
-12.531747864234502,32.72463768115943,-98.95076452599352,0.3495394836176959,11.407368262116806,2019.0,"宝安区"
3.499999999999998,,,4.500000000000002,4.733333333333335,2016.0,"盐田区"
3.2093023255813953,122.2380952380952,257.66666666666663,22.20833333333333,2.6666666666666665,2017.0,"盐田区"
8.460481099656352,33.680555555555564,29.360000000000003,31.048387096774178,6.838709677419352,2018.0,"盐田区"
4.518796992481206,47.037037037037045,8.91111111111111,8.794871794871796,5.0256410256410255,2019.0,"盐田区"
7.050865800865812,,,30.207317073170767,8.53333333333333,2016.0,"福田区"
4.413662239089178,68.91509433962264,69.21610169491528,37.24561403508773,24.843478260869567,2017.0,"福田区"
6.720763723150366,50.97922848664694,11.050808314087755,39.2586206896552,20.309278350515463,2018.0,"福田区"
244.19814126394036,38.497674418604646,-89.34954697186441,0.931636726546906,2.02245508982036,2019.0,"福田区"
4.467289719626172,,,65.04081632653062,7.444444444444445,2016.0,"罗湖区"
2.849427168576103,65.65178571428574,55.928000000000004,44.75714285714289,-3.558823529411759,2017.0,"罗湖区"
2.9932346723044407,36.42052313883295,1.9575471698113196,-2188.2087542087547,2191.0600000000013,2018.0,"罗湖区"
-3.340565417488487,24.504087193460496,-53.19382321618745,5.471518987341771,2.595576619273302,2019.0,"罗湖区"
3.0101214574898765,42.0,,17.00722021660651,1.7977528089887644,2016.0,"龙华区"
2.292400171747525,189.11294117647066,-88.19392523364488,33.861256544502666,4.4188034188034155,2017.0,"龙华区"
2.434044091073361,-491.34789644012955,483.88750000000005,30.375404530744373,13.47993579454254,2018.0,"龙华区"
-1.9201154956689146,26.6557161629435,-50.374100719424426,1.9661610268378058,7.2147024504083905,2019.0,"龙华区"
2.1639549436796024,746.0,1.0,73.82352941176471,15.965174129353233,2016.0,"龙岗区"
2.349109414758266,141.73731343283592,-57.19354838709673,60.416342412451364,19.972440944881903,2017.0,"龙岗区"
1.2660222735868747,28.476689976689897,-4.13474445018069,18.119873817034723,16.311728395061763,2018.0,"龙岗区"
-2.2889733840304163,25.812807881773374,-70.36772176631507,0.39155672823219,9.693565400843859,2019.0,"龙岗区"
