"PUNISH_QUYU","PUNISH_ENFORCETYPE","YEAR","SUM(*)"
"光明区","01",2016,107
"光明区","01",2017,832
"光明区","01",2018,1689
"光明区","01",2019,860
"光明区","02",2016,1
"光明区","02",2017,53
"光明区","02",2018,28
"光明区","02",2019,10
"南山区","01",2016,104
"南山区","01",2017,1888
"南山区","01",2018,2803
"南山区","01",2019,1498
"南山区","02",2016,3
"南山区","02",2017,285
"南山区","02",2018,309
"南山区","02",2019,172
"坪山区","01",2016,84
"坪山区","01",2017,563
"坪山区","01",2018,1150
"坪山区","01",2019,1293
"坪山区","02",2016,3
"坪山区","02",2017,12
"坪山区","02",2018,19
"坪山区","02",2019,3
"大鹏新区","01",2016,16
"大鹏新区","01",2017,218
"大鹏新区","01",2018,297
"大鹏新区","01",2019,130
"大鹏新区","02",2017,15
"大鹏新区","02",2018,14
"大鹏新区","02",2019,5
"宝安区","01",2016,475
"宝安区","01",2017,5913
"宝安区","01",2018,7002
"宝安区","01",2019,8890
"宝安区","02",2017,121
"宝安区","02",2018,101
"宝安区","02",2019,401
"市级","01",2016,213
"市级","01",2017,1289
"市级","01",2018,3690
"市级","01",2019,2302
"市级","02",2016,14
"市级","02",2017,57
"市级","02",2018,85
"市级","02",2019,97
"盐田区","01",2016,21
"盐田区","01",2017,148
"盐田区","01",2018,269
"盐田区","01",2019,149
"盐田区","02",2018,7
"盐田区","02",2019,8
"福田区","01",,1
"福田区","01",2016,523
"福田区","01",2017,1440
"福田区","01",2018,2385
"福田区","01",2019,2951
"福田区","02",2016,17
"福田区","02",2017,142
"福田区","02",2018,183
"福田区","02",2019,109
"罗湖区","01",2016,127
"罗湖区","01",2017,2005
"罗湖区","01",2018,2617
"罗湖区","01",2019,1854
"罗湖区","02",2016,1
"罗湖区","02",2017,81
"罗湖区","02",2018,95
"罗湖区","02",2019,36
"罗湖区","03",2018,10
"罗湖区","03",2019,11
"龙华区","01",2016,282
"龙华区","01",2017,1883
"龙华区","01",2018,2612
"龙华区","01",2019,2371
"龙华区","02",2017,269
"龙华区","02",2018,170
"龙华区","02",2019,76
"龙岗区","01",2016,308
"龙岗区","01",2017,3518
"龙岗区","01",2018,4849
"龙岗区","01",2019,3793
"龙岗区","02",2016,10
"龙岗区","02",2017,276
"龙岗区","02",2018,162
"龙岗区","02",2019,92
