"YEAR","POWER_ID","POWER_COUNT","PUNISH_TYPE","POWER_CODE","POWER_NAME","RANK_COUNT","POWER_COUNT (#1)","RANK_COUNT (#1)","COUNTIN","IS_IN"
2016.0,"c3ea8fa4-3f37-46d2-b99b-f14c3f79ac32",4.0,1.0,"11440300MB2C94128A020204","对违反捕捞许可证关于作业类型、时限的规定进行捕捞政处罚",1.0,10.0,2.0,1.0,1
2017.0,"b8f05563-b2f0-458d-81fd-b160436828b7",15.0,1.0,"1144030700755150X8020005","对供应商在政府采购活动中违法行为的处罚",1.0,15.0,3.0,1.0,1
2017.0,"dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",12.0,1.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",2.0,12.0,7.0,1.0,1
2018.0,"075741dc-4464-4a00-b577-a2ba789fdf7a",39.0,1.0,"114403050075449597020099","用人单位克扣员工工资",1.0,82.0,1.0,1.0,1
2018.0,"dc60b8cb-c5d0-4f7a-91ce-803a5265dcab",29.0,1.0,"11440300MB2C93125R020170","对在中午或者夜间进行产生环境噪声的建筑施工作业的处罚",2.0,30.0,8.0,1.0,1
2018.0,"ceb9af97-bf47-45bd-9de7-ea4314372364",25.0,1.0,"114403050075449597020026","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",3.0,29.0,10.0,1.0,1
2019.0,"075741dc-4464-4a00-b577-a2ba789fdf7a",20.0,1.0,"114403050075449597020099","用人单位克扣员工工资",1.0,32.0,1.0,1.0,1
2019.0,"a2d87f5a-c481-4c49-a7ae-2f0c144ad7c6",13.0,1.0,"11440304MB2D11725U020049","对建设单位未经批准进行临时建设；未按批准内容进行临时建设；临时建筑物、构筑物超过批准期限不拆除的行政处罚",2.0,27.0,2.0,1.0,1
2019.0,"18706d09-ec2e-4775-8692-0edb7021f0c5",11.0,1.0,"114403035731270177020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",3.0,17.0,3.0,1.0,1
2019.0,"33899448-dfc3-4e24-9043-0a161160c85a",9.0,1.0,"114403045747534156020014","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",4.0,11.0,6.0,1.0,1
2017.0,"4aa4f2a4-4ff1-46e3-9e63-a04d26fdcfe6",5.0,1.0,"11440300007541539G020054","对供应商在政府采购活动中违法行为的处罚",3.0,,,,0
2017.0,"075741dc-4464-4a00-b577-a2ba789fdf7a",5.0,1.0,"114403050075449597020099","用人单位克扣员工工资",3.0,,,,0
2017.0,"57640b7d-0c4b-42e3-b1c2-cb1fc5c87bed",4.0,1.0,"11440300MB2C93125R020236","对向周围环境排放工业噪声超过规定排放标准或者技术规范限值的处罚",5.0,,,,0
2018.0,"4aa4f2a4-4ff1-46e3-9e63-a04d26fdcfe6",15.0,1.0,"11440300007541539G020054","对供应商在政府采购活动中违法行为的处罚",4.0,,,,0
2018.0,"a2d87f5a-c481-4c49-a7ae-2f0c144ad7c6",12.0,1.0,"11440304MB2D11725U020049","对建设单位未经批准进行临时建设；未按批准内容进行临时建设；临时建筑物、构筑物超过批准期限不拆除的行政处罚",5.0,,,,0
2019.0,"601ff346-524e-44cb-ad65-e3d8195976bb",6.0,1.0,"11440306574755306X020080","对用人单位违反劳动保障法律、法规或者规章延长劳动者工作时间的处罚",5.0,,,,0
