"YEAR","SUB_QUYU","SUM(*)"
2016.0,"光明区",0.0
2016.0,"南山区",0.0
2016.0,"坪山区",0.0
2016.0,"大鹏新区",0.0
2016.0,"宝安区",0.0
2016.0,"盐田区",0.0
2016.0,"福田区",0.0
2016.0,"罗湖区",0.0
2016.0,"龙华区",0.0
2016.0,"龙岗区",0.0
2017.0,"光明区",0.0
2017.0,"南山区",0.0
2017.0,"坪山区",0.0
2017.0,"大鹏新区",0.0
2017.0,"宝安区",0.0
2017.0,"盐田区",0.0
2017.0,"福田区",0.0
2017.0,"罗湖区",0.0
2017.0,"龙华区",0.0
2017.0,"龙岗区",0.0
2018.0,"光明区",0.0
2018.0,"南山区",0.0
2018.0,"坪山区",0.0
2018.0,"大鹏新区",0.0
2018.0,"宝安区",0.0
2018.0,"盐田区",0.0
2018.0,"福田区",0.0
2018.0,"罗湖区",0.0
2018.0,"龙华区",0.0
2018.0,"龙岗区",0.0
2019.0,"光明区",1298.0
2019.0,"南山区",3105.0
2019.0,"坪山区",1216.0
2019.0,"大鹏新区",999.0
2019.0,"宝安区",4249.0
2019.0,"盐田区",1002.0
2019.0,"福田区",3308.0
2019.0,"罗湖区",3345.0
2019.0,"龙华区",2022.0
2019.0,"龙岗区",4497.0
